Player,Team,Points,Cost,Player,Team,Points,Cost,Player,Team,Points,Cost,Player,Team,Points,Cost,Player,Team,Points,Cost,Player,Team,Points,Cost,Player,Team,Points,Cost,Player,Team,Points,Cost
,,,,,,,,Fonte,Southampton,0,£5.5,Yoshida,Southampton,1,£4.5,Lamela,Spurs,1,£7.0,Carroll,Spurs,0,£5.0,Hernández,Man Utd,0,£6.0,Lawrence,Leicester,0,£4.5
,,,,,,,,Rose,Spurs,0,£5.5,Gardos,Southampton,0,£4.5,Shaqiri,Stoke,0,£7.0,Alli,Spurs,0,£5.0,Long,Southampton,5,£6.0,Armstrong,Newcastle,0,£4.5
,,,,,,,,Vertonghen,Spurs,1,£5.5,Martina,Southampton,1,£4.5,Ayew,Swansea,10,£7.0,Ireland,Stoke,0,£5.0,Juanmi,Southampton,0,£6.0,Grabban,Norwich,1,£4.5
,,,,,,,,Trippier,Spurs,0,£5.5,Chiriches,Spurs,0,£4.5,Bolasie,Crystal Palace,1,£6.5,Odemwingie,Stoke,1,£5.0,Adebayor,Spurs,0,£6.0,Hooper,Norwich,1,£4.5
,,,,,,,,Cresswell,West Ham,6,£5.5,Davies,Spurs,2,£4.5,Cabaye,Crystal Palace,10,£6.5,M'Vila,Sunderland,0,£5.0,Soldado,Spurs,0,£6.0,Lafferty,Norwich,0,£4.5
,,,,,,,,Gabriel,Arsenal,0,£5.0,Yedlin,Spurs,0,£4.5,Barkley,Everton,9,£6.5,Rodwell,Sunderland,1,£5.0,Crouch,Stoke,0,£6.0,Mayuka,Southampton,0,£4.5
,,,,,,,,Chambers,Arsenal,0,£5.0,Wilson,Stoke,0,£4.5,Deulofeu,Everton,0,£6.5,Gómez,Sunderland,0,£5.0,Joselu,Stoke,0,£6.0,Graham,Sunderland,0,£4.5
,,,,,,,,Amavi,Aston Villa,9,£5.0,Cameron,Stoke,2,£4.5,Navas,Man City,6,£6.5,Buckley,Sunderland,0,£5.0,Lambert,West Brom,2,£6.0,Emnes,Swansea,0,£4.5
,,,,,,,,Bacuna,Aston Villa,5,£5.0,Muniesa,Stoke,2,£4.5,Fellaini,Man Utd,0,£6.5,Cork,Swansea,0,£5.0,Valencia,West Ham,0,£6.0,Barrow,Swansea,0,£4.5
,,,,,,,,Dann,Crystal Palace,2,£5.0,Bardsley,Stoke,0,£4.5,de Jong,Newcastle,1,£6.5,Dyer,Swansea,0,£5.0,Bamford,Crystal Palace,0,£5.9,Forestieri,Watford,0,£4.5
,,,,,,,,Fuchs,Leicester,1,£5.0,Wollscheid,Stoke,1,£4.5,Cabella,Newcastle,0,£6.5,Capoue,Watford,2,£5.0,Ulloa,Leicester,0,£5.9,Samaras,West Brom,0,£4.5
,,,,,,,,Schlupp,Leicester,3,£5.0,Kaboul,Sunderland,-1,£4.5,Lens,Sunderland,5,£6.5,Abdi,Watford,0,£5.0,Kramaric,Leicester,0,£5.9,Lee,West Ham,0,£4.5
,,,,,,,,Sakho,Liverpool,0,£5.0,O'Shea,Sunderland,0,£4.5,Wilshere,Arsenal,0,£6.0,Gnabry,West Brom,0,£5.0,Wilson,Bournemouth,2,£5.5,Maiga,West Ham,1,£4.5
,,,,,,,,Lovren,Liverpool,5,£5.0,Jones,Sunderland,-1,£4.5,Chamberlain,Arsenal,2,£6.0,Morrison,West Brom,2,£5.0,,,,,,,,
,,,,,,,,Moreno,Liverpool,0,£5.0,Brown,Sunderland,0,£4.5,Veretout,Aston Villa,3,£6.0,McManaman,West Brom,1,£5.0,,,,,,,,
,,,,,,,,Sagna,Man City,6,£5.0,Coates,Sunderland,-1,£4.5,Gradel,Bournemouth,1,£6.0,McClean,West Brom,1,£5.0,,,,,,,,
,,,,,,,,Evans,Man Utd,0,£5.0,Matthews,Sunderland,1,£4.5,Ritchie,Bournemouth,2,£6.0,Jarvis,West Ham,1,£5.0,,,,,,,,
,,,,,,,,McNair,Man Utd,0,£5.0,Rangel,Swansea,0,£4.5,Puncheon,Crystal Palace,5,£6.0,Amalfitano,West Ham,0,£5.0,,,,,,,,
,,,,,,,,Janmaat,Newcastle,1,£5.0,Bartley,Swansea,0,£4.5,Markovic,Liverpool,0,£6.0,Obiang,West Ham,0,£5.0,,,,,,,,
,,,,,,,,Mbemba,Newcastle,1,£5.0,Amat,Swansea,0,£4.5,Fernandinho,Man City,2,£6.0,Coquelin,Arsenal,1,£4.5,,,,,,,,
,,,,,,,,Cédric,Southampton,3,£5.0,Britos,Watford,0,£4.5,Young,Man Utd,3,£6.0,Flamini,Arsenal,0,£4.5,,,,,,,,
,,,,,,,,Alderweireld,Spurs,2,£5.0,Angella,Watford,0,£4.5,Sissoko,Newcastle,2,£6.0,Westwood,Aston Villa,5,£4.5,,,,,,,,
,,,,,,,,Walker,Spurs,0,£5.0,Cathcart,Watford,1,£4.5,Gouffran,Newcastle,0,£6.0,Sánchez,Aston Villa,1,£4.5,,,,,,,,
,,,,,,,,Dier,Spurs,1,£5.0,Prödl,Watford,1,£4.5,Ward-Prowse,Southampton,0,£6.0,Surman,Bournemouth,2,£4.5,,,,,,,,
,,,,,,,,Fazio,Spurs,0,£5.0,Paredes,Watford,0,£4.5,Townsend,Spurs,0,£6.0,O'Kane,Bournemouth,1,£4.5,,,,,,,,
,,,,,,,,Wimmer,Spurs,0,£5.0,Layún,Watford,7,£4.5,Lennon,Spurs,0,£6.0,MacDonald,Bournemouth,0,£4.5,,,,,,,,
,,,,,,,,Shawcross,Stoke,0,£5.0,Holebas,Watford,0,£4.5,Adam,Stoke,2,£6.0,Stanislas,Bournemouth,0,£4.5,,,,,,,,
,,,,,,,,Pieters,Stoke,1,£5.0,Nyom,Watford,1,£4.5,Walters,Stoke,2,£6.0,Gosling,Bournemouth,1,£4.5,,,,,,,,
,,,,,,,,Johnson,Stoke,2,£5.0,Olsson,West Brom,0,£4.5,Arnautovic,Stoke,0,£6.0,Mikel,Chelsea,0,£4.5,,,,,,,,
,,,,,,,,van Aanholt,Sunderland,0,£5.0,Pocognoli,West Brom,0,£4.5,Johnson,Sunderland,6,£6.0,Mutch,Crystal Palace,2,£4.5,,,,,,,,
,,,,,,,,Naughton,Swansea,1,£5.0,Collins,West Ham,0,£4.5,Montero,Swansea,2,£6.0,Bannan,Crystal Palace,0,£4.5,,,,,,,,
,,,,,,,,Williams,Swansea,0,£5.0,O'Brien,West Ham,0,£4.5,Berghuis,Watford,0,£6.0,Williams,Crystal Palace,0,£4.5,,,,,,,,
,,,,,,,,Taylor,Swansea,1,£5.0,Senderos,Aston Villa,0,£4.0,Mahrez,Leicester,15,£5.6,Lee Chung-yong,Crystal Palace,0,£4.5,,,,,,,,
,,,,,,,,Fernández,Swansea,-1,£5.0,Baker,Aston Villa,0,£4.0,Grealish,Aston Villa,0,£5.5,Guédioura,Crystal Palace,0,£4.5,,,,,,,,
,,,,,,,,Tabanou,Swansea,0,£5.0,Kinsella,Aston Villa,0,£4.0,Atsu,Bournemouth,0,£5.5,Barry,Everton,2,£4.5,,,,,,,,
,,,,,,,,Chester,West Brom,0,£5.0,Cargill,Bournemouth,0,£4.0,Ramires,Chelsea,0,£5.5,Gibson,Everton,0,£4.5,,,,,,,,
,,,,,,,,Dawson,West Brom,1,£5.0,Smith,Bournemouth,0,£4.0,Moses,Chelsea,0,£5.5,Besic,Everton,0,£4.5,,,,,,,,
,,,,,,,,Lescott,West Brom,1,£5.0,Mariappa,Crystal Palace,0,£4.0,Sako,Crystal Palace,0,£5.5,Oviedo,Everton,1,£4.5,,,,,,,,
,,,,,,,,McAuley,West Brom,0,£5.0,Fryers,Crystal Palace,0,£4.0,Zaha,Crystal Palace,7,£5.5,King,Leicester,2,£4.5,,,,,,,,
,,,,,,,,Jenkinson,West Ham,0,£5.0,Hibbert,Everton,0,£4.0,Cleverley,Everton,2,£5.5,Drinkwater,Leicester,2,£4.5,,,,,,,,
,,,,,,,,Reid,West Ham,6,£5.0,Browning,Everton,0,£4.0,Can,Liverpool,1,£5.5,Hammond,Leicester,0,£4.5,,,,,,,,
,,,,,,,,Tomkins,West Ham,5,£5.0,Simpson,Leicester,0,£4.0,Delph,Man City,0,£5.5,Knockaert,Leicester,0,£4.5,,,,,,,,
,,,,,,,,Ogbonna,West Ham,5,£5.0,Moore,Leicester,0,£4.0,Schneiderlin,Man Utd,3,£5.5,James,Leicester,0,£4.5,,,,,,,,
,,,,,,,,Gomez,Liverpool,11,£4.6,Steven Taylor,Newcastle,0,£4.0,Januzaj,Man Utd,0,£5.5,Lucas,Liverpool,0,£4.5,,,,,,,,
,,,,,,,,Crespo,Aston Villa,0,£4.5,Turner,Norwich,0,£4.0,Blind,Man Utd,3,£5.5,Roberts,Man City,0,£4.5,,,,,,,,
,,,,,,,,Richardson,Aston Villa,1,£4.5,Ryan Bennett,Norwich,0,£4.0,Colback,Newcastle,1,£5.5,Obertan,Newcastle,5,£4.5,,,,,,,,
,,,,,,,,Hutton,Aston Villa,0,£4.5,Targett,Southampton,1,£4.0,Brady,Norwich,2,£5.5,Tioté,Newcastle,1,£4.5,,,,,,,,
,,,,,,,,Clark,Aston Villa,5,£4.5,Roberge,Sunderland,0,£4.0,Johnson,Norwich,2,£5.5,Abeid,Newcastle,0,£4.5,,,,,,,,
,,,,,,,,Okore,Aston Villa,0,£4.5,Tiendalli,Swansea,0,£4.0,Redmond,Norwich,6,£5.5,Anita,Newcastle,2,£4.5,,,,,,,,
,,,,,,,,Richards,Aston Villa,8,£4.5,Ekstrand,Watford,0,£4.0,Ramírez,Southampton,0,£5.5,Tettey,Norwich,0,£4.5,,,,,,,,
,,,,,,,,Francis,Bournemouth,2,£4.5,Pudil,Watford,0,£4.0,Clasie,Southampton,0,£5.5,O'Neil,Norwich,0,£4.5,,,,,,,,
,,,,,,,,Cook,Bournemouth,1,£4.5,Hoban,Watford,0,£4.0,Dembélé,Spurs,2,£5.5,Elliott Bennett,Norwich,0,£4.5,,,,,,,,
,,,,,,,,Elphick,Bournemouth,2,£4.5,Gamboa,West Brom,0,£4.0,Afellay,Stoke,2,£5.5,Mulumbu,Norwich,0,£4.5,,,,,,,,
,,,,,,,,Daniels,Bournemouth,2,£4.5,Burke,West Ham,0,£4.0,Van Ginkel,Stoke,2,£5.5,Andreu,Norwich,0,£4.5,,,,,,,,
,,,,,,,,Mings,Bournemouth,0,£4.5,Oxford,West Ham,6,£4.0,Larsson,Sunderland,2,£5.5,Wanyama,Southampton,2,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Giaccherini,Sunderland,0,£5.5,Reed,Southampton,0,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Routledge,Swansea,1,£5.5,Bentaleb,Spurs,1,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Shelvey,Swansea,1,£5.5,Whelan,Stoke,2,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Ki Sung-yueng,Swansea,1,£5.5,Sidwell,Stoke,1,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Jurado,Watford,6,£5.5,Moha,Stoke,0,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Sessegnon,West Brom,0,£5.5,Cattermole,Sunderland,1,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Gardner,West Brom,1,£5.5,Bridcutt,Sunderland,0,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Brunt,West Brom,2,£5.5,Britton,Swansea,0,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Lanzini,West Ham,0,£5.5,Fulton,Swansea,0,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Noble,West Ham,2,£5.5,Grimes,Swansea,0,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Nolan,West Ham,1,£5.5,Watson,Watford,1,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Kouyaté,West Ham,9,£5.5,Anya,Watford,2,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Arteta,Arsenal,0,£5.0,Dyer,Watford,0,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Rosicky,Arsenal,0,£5.0,Murray,Watford,0,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Zelalem,Arsenal,0,£5.0,Behrami,Watford,2,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Adelaide,Arsenal,0,£5.0,Fletcher,West Brom,1,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,Carles Gil,Aston Villa,0,£5.0,Yacob,West Brom,0,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,N'Zogbia,Aston Villa,0,£5.0,Samuelsen,West Ham,0,£4.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Poyet,West Ham,0,£4.5,,,,,,,,
