goalkeepers,,,
Player,Team,Points,Cost
Hoban,Watford,0,£3.9
Gamboa,West Brom,0,£3.9
Burke,West Ham,0,£3.9
Moore,Leicester,0,£3.8
Oxford,West Ham,7,£3.8
,,,
midfielders,,,
Player,Team,Points,Cost
Sánchez,Arsenal,76,£11.0
Hazard,Chelsea,46,£10.9
De Bruyne,Man City,71,£10.9
Silva,Man City,37,£10.0
Özil,Arsenal,96,£9.6
Pedro,Chelsea,39,£8.9
Sterling,Man City,62,£8.9
Mata,Man Utd,73,£8.7
Yaya Touré,Man City,58,£8.5
Eriksen,Spurs,60,£8.5
Fàbregas,Chelsea,39,£8.4
Coutinho,Liverpool,70,£8.4
Walcott,Arsenal,35,£8.3
Oscar,Chelsea,20,£8.2
Firmino,Liverpool,38,£8.1
Ramsey,Arsenal,43,£8.0
Cazorla,Arsenal,41,£7.9
Depay,Man Utd,36,£7.9
Mané,Southampton,63,£7.9
Payet,West Ham,74,£7.7
Barkley,Everton,87,£7.4
Lallana,Liverpool,28,£7.3
Tadic,Southampton,68,£7.1
Sigurdsson,Swansea,43,£7.1
Ayew,Swansea,78,£7.1
Willian,Chelsea,46,£6.9
Wijnaldum,Newcastle,84,£6.9
Mirallas,Everton,5,£6.8
Mahrez,Leicester,119,£6.8
Nasri,Man City,15,£6.8
Lamela,Spurs,43,£6.8
Cabaye,Crystal Palace,63,£6.6
Milner,Liverpool,51,£6.6
Schweinsteiger,Man Utd,38,£6.6
Herrera,Man Utd,37,£6.6
Chadli,Spurs,28,£6.6
Shaqiri,Stoke,40,£6.6
Henderson,Liverpool,8,£6.5
Deulofeu,Everton,49,£6.4
Navas,Man City,40,£6.2
Fellaini,Man Utd,10,£6.2
Toivonen,Sunderland,16,£6.2
Lens,Sunderland,35,£6.2
Bolasie,Crystal Palace,53,£6.1
de Jong,Newcastle,11,£6.1
Arnautovic,Stoke,70,£6.1
Fernandinho,Man City,48,£5.9
Wilshere,Arsenal,0,£5.8
Townsend,Spurs,3,£5.8
Walters,Stoke,36,£5.8
Johnson,Sunderland,24,£5.8
Gradel,Bournemouth,16,£5.7
Puncheon,Crystal Palace,39,£5.7
Sissoko,Newcastle,46,£5.7
Thauvin,Newcastle,11,£5.7
Veretout,Aston Villa,25,£5.6
Ritchie,Bournemouth,46,£5.6
Lennon,Everton,9,£5.6
Young,Man Utd,20,£5.6
Gouffran,Newcastle,4,£5.6
Ward-Prowse,Southampton,31,£5.6
Adam,Stoke,21,£5.6
Chamberlain,Arsenal,20,£5.5
Berghuis,Watford,5,£5.5
Noble,West Ham,40,£5.5
Traoré,Aston Villa,8,£5.4
Traore,Chelsea,1,£5.4
Delph,Man City,14,£5.4
Blind,Man Utd,45,£5.4
Brady,Norwich,53,£5.4
Redmond,Norwich,51,£5.4
Shelvey,Swansea,40,£5.4
Montero,Swansea,32,£5.4
Lanzini,West Ham,55,£5.4
Kouyaté,West Ham,52,£5.4
Grealish,Aston Villa,21,£5.3
Ramires,Chelsea,25,£5.3
Zaha,Crystal Palace,36,£5.3
Can,Liverpool,24,£5.3
Ramírez,Southampton,4,£5.3
Clasie,Southampton,12,£5.3
Dembélé,Spurs,37,£5.3
Jurado,Watford,24,£5.3
Schneiderlin,Man Utd,33,£5.2
Colback,Newcastle,16,£5.2
Routledge,Swansea,9,£5.2
Gardner,West Brom,14,£5.2
Brunt,West Brom,35,£5.2
Antonio,West Ham,3,£5.2
Sako,Crystal Palace,37,£5.1
Cleverley,Everton,11,£5.1
Afellay,Stoke,13,£5.1
Van Ginkel,Stoke,16,£5.1
Larsson,Sunderland,13,£5.1
Ki Sung-yueng,Swansea,18,£5.1
Diamanti,Watford,3,£5.1
Sessegnon,West Brom,17,£5.1
Moses,West Ham,30,£5.1
Atsu,Bournemouth,0,£5.0
McArthur,Crystal Palace,47,£5.0
Kanté,Leicester,47,£5.0
Alli,Spurs,53,£5.0
M'Vila,Sunderland,52,£5.0
Rosicky,Arsenal,0,£4.9
McGeady,Everton,0,£4.9
Albrighton,Leicester,58,£4.9
Allen,Liverpool,5,£4.9
Fernando,Man City,16,£4.9
Hoolahan,Norwich,47,£4.9
Howson,Norwich,46,£4.9
Odjidja-Ofoe,Norwich,2,£4.9
Mason,Spurs,23,£4.9
Song,West Ham,4,£4.9
,,,
Player,Team,Points,Cost
Zelalem,Arsenal,0,£4.8
Adelaide,Arsenal,0,£4.8
Cole,Aston Villa,0,£4.8
Pienaar,Everton,0,£4.8
Carrick,Man Utd,19,£4.8
Davis,Southampton,44,£4.8
Pritchard,Spurs,1,£4.8
Rodwell,Sunderland,10,£4.8
Gómez,Sunderland,9,£4.8
Capoue,Watford,37,£4.8
Morrison,West Brom,45,£4.8
Obiang,West Ham,16,£4.8
Arteta,Arsenal,5,£4.7
Carles Gil,Aston Villa,20,£4.7
Gueye,Aston Villa,23,£4.7
Arter,Bournemouth,10,£4.7
Pugh,Bournemouth,23,£4.7
Matic,Chelsea,30,£4.7
Loftus-Cheek,Chelsea,3,£4.7
Ledley,Crystal Palace,7,£4.7
McCarthy,Everton,32,£4.7
Dyer,Leicester,14,£4.7
Jarvis,Norwich,17,£4.7
Hesketh,Southampton,0,£4.7
Carroll,Spurs,5,£4.7
Ireland,Stoke,9,£4.7
Odemwingie,Stoke,2,£4.7
Buckley,Sunderland,0,£4.7
Cork,Swansea,17,£4.7
Abdi,Watford,34,£4.7
McClean,West Brom,40,£4.7
Sinclair,Aston Villa,33,£4.6
King,Bournemouth,28,£4.6
Jedinak,Crystal Palace,8,£4.6
Ibe,Liverpool,26,£4.6
Pereira,Man Utd,1,£4.6
Aarons,Newcastle,3,£4.6
Gnabry,West Brom,1,£4.6
Amalfitano,West Ham,0,£4.6
Iwobi,Arsenal,1,£4.5
N'Zogbia,Aston Villa,2,£4.5
Gardner,Aston Villa,0,£4.5
Gray,Crystal Palace,0,£4.5
Osman,Everton,2,£4.5
Inler,Leicester,4,£4.5
Drinkwater,Leicester,45,£4.5
Teixeira,Liverpool,0,£4.5
Brannagan,Liverpool,0,£4.5
Manu García,Man City,0,£4.5
Evans,Man City,0,£4.5
Barker,Man City,0,£4.5
Lingard,Man Utd,18,£4.5
Goss,Man Utd,0,£4.5
Bigirimana,Newcastle,0,£4.5
Marveaux,Newcastle,0,£4.5
Dorrans,Norwich,19,£4.5
Isgrove,Southampton,0,£4.5
Winks,Spurs,0,£4.5
Lucas,Swansea,0,£4.5
Smith,Watford,0,£4.5
McManaman,West Brom,16,£4.5
Flamini,Arsenal,8,£4.4
Westwood,Aston Villa,25,£4.4
Gosling,Bournemouth,38,£4.4
Gibson,Everton,3,£4.4
Besic,Everton,1,£4.4
James,Leicester,0,£4.4
Rossiter,Liverpool,1,£4.4
Lucas,Liverpool,21,£4.4
Tioté,Newcastle,9,£4.4
Anita,Newcastle,28,£4.4
Onomah,Spurs,3,£4.4
Whelan,Stoke,32,£4.4
Anya,Watford,37,£4.4
Behrami,Watford,12,£4.4
Fletcher,West Brom,38,£4.4
Yacob,West Brom,26,£4.4
Samuelsen,West Ham,0,£4.4
Cullen,West Ham,1,£4.4
Coquelin,Arsenal,24,£4.3
Sánchez,Aston Villa,21,£4.3
Surman,Bournemouth,31,£4.3
O'Kane,Bournemouth,15,£4.3
MacDonald,Bournemouth,2,£4.3
Mikel,Chelsea,7,£4.3
Williams,Crystal Palace,0,£4.3
Lee Chung-yong,Crystal Palace,4,£4.3
Barry,Everton,35,£4.3
Oviedo,Everton,5,£4.3
Hammond,Leicester,0,£4.3
Obertan,Newcastle,11,£4.3
Tettey,Norwich,19,£4.3
Elliott Bennett,Norwich,0,£4.3
Mulumbu,Norwich,5,£4.3
Andreu,Norwich,0,£4.3
Wanyama,Southampton,23,£4.3
Reed,Southampton,0,£4.3
Bentaleb,Spurs,5,£4.3
Moha,Stoke,0,£4.3
Cattermole,Sunderland,20,£4.3
Bridcutt,Sunderland,0,£4.3
Britton,Swansea,9,£4.3
Fulton,Swansea,0,£4.3
Guédioura,Watford,6,£4.3
Watson,Watford,28,£4.3
Stanislas,Bournemouth,25,£4.2
Mutch,Crystal Palace,7,£4.2
King,Leicester,13,£4.2
Roberts,Man City,1,£4.2
O'Neil,Norwich,10,£4.2
Oriol Romeu,Southampton,15,£4.2
Sidwell,Stoke,1,£4.2
Grimes,Swansea,0,£4.2
Dyer,Watford,0,£4.2
,,,
forwards,,,
Player,Team,Points,Cost
Agüero,Man City,52,£13.1
Costa,Chelsea,41,£10.8
Sturridge,Liverpool,19,£10.2
Rooney,Man Utd,36,£10.0
Kane,Spurs,69,£9.7
Lukaku,Everton,100,£9.1
Giroud,Arsenal,56,£8.9
Benteke,Liverpool,49,£8.3
Pellè,Southampton,68,£8.2
Bony,Man City,34,£8.1
Martial,Man Utd,40,£7.8
Son,Spurs,22,£7.8
Vardy,Leicester,107,£7.6
Welbeck,Arsenal,0,£7.3
N'Jie,Spurs,11,£7.3
Remy,Chelsea,10,£7.1
Ings,Liverpool,20,£7.0
Falcao,Chelsea,14,£6.9
Gomis,Swansea,44,£6.6
Rondón,West Brom,44,£6.6
Rodriguez,Southampton,10,£6.5
Carroll,West Ham,21,£6.4
Diouf,Stoke,33,£6.3
Sakho,West Ham,42,£6.3
Mitrovic,Newcastle,21,£6.2
Cissé,Newcastle,26,£6.2
Berahino,West Brom,38,£6.0
Ighalo,Watford,96,£5.9
Valencia,West Ham,2,£5.8
Gestede,Aston Villa,37,£5.7
Okazaki,Leicester,27,£5.7
Long,Southampton,20,£5.7
Murray,Bournemouth,25,£5.6
Crouch,Stoke,3,£5.6
Ayew,Aston Villa,30,£5.5
Wickham,Crystal Palace,17,£5.5
Origi,Liverpool,6,£5.5
Mbokani,Norwich,23,£5.5
Joselu,Stoke,12,£5.5
Oularé,Watford,0,£5.5
Jelavic,West Ham,12,£5.5
Wilson,Bournemouth,38,£5.4
Bamford,Crystal Palace,5,£5.4
Campbell,Crystal Palace,3,£5.4
Kramaric,Leicester,1,£5.4
Rivière,Newcastle,0,£5.4
,,,
,,,
Player,Team,Points,Cost
Juanmi,Southampton,7,£5.4
Borini,Sunderland,10,£5.4
Lambert,West Brom,23,£5.4
Kenedy,Chelsea,6,£5.3
Ulloa,Leicester,24,£5.3
Zárate,West Ham,35,£5.3
Ibarbo,Watford,3,£5.2
Deeney,Watford,70,£5.2
Gayle,Crystal Palace,9,£5.1
Naismith,Everton,27,£5.1
Ayoze,Newcastle,45,£5.1
Bojan,Stoke,37,£5.1
Defoe,Sunderland,36,£5.1
Campbell,Arsenal,20,£5.0
Fletcher,Sunderland,44,£5.0
Eder,Swansea,14,£5.0
Koné,Everton,62,£4.9
Iheanacho,Man City,17,£4.9
Tomlin,Bournemouth,8,£4.8
Agbonlahor,Aston Villa,20,£4.7
Chamakh,Crystal Palace,1,£4.7
Wilson,Man Utd,1,£4.6
Jerome,Norwich,32,£4.6
Kozák,Aston Villa,0,£4.5
Kermorgant,Bournemouth,4,£4.5
Butcher,Bournemouth,0,£4.5
Rodríguez,Everton,0,£4.5
Dodoo,Leicester,1,£4.5
Sinclair,Liverpool,0,£4.5
Rashford,Man Utd,0,£4.5
Seager,Southampton,0,£4.5
Gooch,Sunderland,0,£4.5
Anichebe,West Brom,1,£4.5
McAleny,Everton,0,£4.4
Lawrence,Leicester,0,£4.4
Lafferty,Norwich,1,£4.4
Barrow,Swansea,6,£4.4
Armstrong,Newcastle,0,£4.3
Grabban,Norwich,13,£4.3
Watmore,Sunderland,19,£4.3
Lee,West Ham,0,£4.3
Hepburn-Murphy,Aston Villa,0,£4.2
Rantie,Bournemouth,1,£4.2
Toney,Newcastle,1,£4.2
Hooper,Norwich,2,£4.2
Graham,Sunderland,9,£4.2
Emnes,Swansea,0,£4.2
